sample.date,id.date,stream,sample.id,fraction,rhodo.acer,stage,order,family,genus,length_mm,number,notes
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Perlodidae,unk,4,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,3,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,6,2,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,7,2,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Ephemeroptera,Leptophlebiidae,unk,3,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Ephemeroptera,Leptophlebiidae,unk,5,1,"best guess, abdomen only"
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Ephemeroptera,Ephemerellidae,unk,2,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,3,4,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,4,5,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,5,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,12,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,13,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Philopotamidae,unk,5,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Philopotamidae,unk,7,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Philopotamidae,unk,9,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,8,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,10,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,11,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Coleoptera,Ptilodactylidae,Anchytarsus,17,1,
7/5/18,7/15/23,WS31,98,1_mm,R,pupa,unk,unk,unk,4,1,
7/5/18,7/15/23,WS31,98,1_mm,R,unk,Oligochaeta,unk,unk,3,1,
7/5/18,7/15/23,WS31,98,1_mm,R,unk,Oligochaeta,unk,unk,22,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Chironomidae,non_tany,2,13,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,42,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,34,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Chironomidae,non_tany,5,8,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Chironomidae,non_tany,6,2,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Chironomidae,tany,3,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Ceratopogonidae,unk,6,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Ceratopogonidae,unk,8,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Pediciidae,Dicranota,4,1,
12/11/17,6/22/23,WS27,99,1_mm,R,unk,Oligochaeta,unk,unk,2,2,
12/11/17,6/22/23,WS27,99,1_mm,R,unk,Oligochaeta,unk,unk,4,1,
12/11/17,6/22/23,WS27,99,1_mm,R,unk,Oligochaeta,unk,unk,10,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Diptera,Limoniidae,Hexatoma,9,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,7,2,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,4,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Trichoptera,Rhyacophilidae,Rhyacophila,4,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Trichoptera,Rhyacophilidae,Rhyacophila,6,2,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Trichoptera,Rhyacophilidae,Rhyacophila,15,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,2,2,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,4,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,7,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,9,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Trichoptera,Polycentropodidae,unk,5,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Ephemeroptera,Baetidae,unk,6,2,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Ephemeroptera,Heptageniidae,unk,2,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Ephemeroptera,Leptophlebiidae,unk,4,1,
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Ephemeroptera,unk,unk,2,1,length is for abdomens only
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Ephemeroptera,unk,unk,3,1,length is for abdomens only
12/11/17,6/22/23,WS27,99,1_mm,R,larva,Coleoptera,Elmidae,unk,5,1,
12/11/17,6/15/23,WS27,100,1_mm,R,pupa,unk,unk,unk,3,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,1,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,2,31,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,59,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,65,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,5,15,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,6,4,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,7,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,tany,2,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Chironomidae,tany,3,2,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Ceratopogonidae,unk,8,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Pediciidae,Dicranota,3,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Pediciidae,Dicranota,7,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Diptera,Pediciidae,Dicranota,8,1,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Oligochaeta,unk,unk,1,4,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Oligochaeta,unk,unk,2,6,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Oligochaeta,unk,unk,3,3,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Oligochaeta,unk,unk,4,2,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Oligochaeta,unk,unk,5,2,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Oligochaeta,unk,unk,9,1,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Oligochaeta,unk,unk,10,2,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,7,2,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,8,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Plecoptera,Perlidae,unk,5,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Plecoptera,Perlodidae,unk,6,2,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,4,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Ephemeroptera,Ephemerellidae,unk,2,5,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Ephemeroptera,Ephemerellidae,unk,4,3,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Ephemeroptera,Heptageniidae,unk,2,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Ephemeroptera,Baetidae,unk,6,2,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Ephemeroptera,Baetidae,unk,7,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,2,4,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,5,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Trichoptera,Limnephilidae,Pycnopsyche,6,1,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,4,2,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,5,3,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Trichoptera,Rhyacophilidae,unk,4,2,
12/11/17,6/15/23,WS27,100,1_mm,R,larva,Trichoptera,Philopotamidae,unk,3,1,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Collembola,unk,unk,1,1,
12/11/17,6/15/23,WS27,100,1_mm,R,unk,Amphipoda,unk,unk,1,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,3,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,2,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,5,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Diptera,Chironomidae,non_tany,6,3,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Coleoptera,Elmidae,unk,3,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,3,8,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,4,13,one is length estimate
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,5,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,6,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Plecoptera,Nemouridae,Amphinemura,5,2,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,6,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Ephemeroptera,Heptageniidae,unk,6,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,3,2,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,4,2,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,5,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,2,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,9,1,
7/5/18,7/15/23,WS31,100,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,10,1,
7/5/18,7/15/23,WS31,100,1_mm,R,unk,Collembola,unk,unk,1,1,
7/5/18,7/15/23,WS31,100,1_mm,R,unk,Oligochaeta,unk,unk,2,21,
7/5/18,7/15/23,WS31,100,1_mm,R,unk,Oligochaeta,unk,unk,4,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Diptera,Chironomidae,non_tany,2,2,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,3,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,4,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Diptera,Chironomidae,non_tany,5,4,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Diptera,Chironomidae,tany,3,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Diptera,Chironomidae,tany,4,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Diptera,Chironomidae,tany,7,2,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Diptera,Pediciidae,Dicranota,6,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Megaloptera,Corydalidae,unk,4,2,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Megaloptera,Corydalidae,unk,5,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Ephemeroptera,Heptageniidae,unk,12,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Plecoptera,Nemouridae,Soyedina,2,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,3,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,4,2,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,5,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Plecoptera,Perlidae,unk,4,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,2,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,4,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,5,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,6,2,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,7,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,9,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,10,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Odonata,Gomphidae,unk,6,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Odonata,Gomphidae,unk,8,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Odonata,Gomphidae,unk,13,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Odonata,Cordulegastridae,unk,6,1,
7/5/18,7/18/23,WS06,101,1_mm,R,larva,Odonata,Cordulegastridae,unk,14,1,
7/5/18,7/18/23,WS06,101,1_mm,R,pupa,unk,unk,unk,3,3,
7/5/18,7/18/23,WS06,101,1_mm,R,pupa,unk,unk,unk,4,1,
7/5/18,7/18/23,WS06,101,1_mm,R,unk,Collembola,unk,unk,2,3,
7/5/18,7/18/23,WS06,101,1_mm,R,unk,Collembola,unk,unk,3,1,
7/5/18,7/18/23,WS06,101,1_mm,R,unk,Oligochaeta,unk,unk,1,2,
7/5/18,7/18/23,WS06,101,1_mm,R,unk,Oligochaeta,unk,unk,2,3,
7/5/18,7/18/23,WS06,101,1_mm,R,unk,Oligochaeta,unk,unk,4,1,
7/5/18,7/18/23,WS06,101,1_mm,R,unk,Oligochaeta,unk,unk,6,1,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Chironomidae,non_tany,1,5,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Chironomidae,non_tany,2,9,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,5,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,5,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Chironomidae,non_tany,5,2,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Chironomidae,non_tany,7,1,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Chironomidae,tany,2,3,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Limoniidae,Hexatoma,3,1,
12/11/17,6/16/23,WS31,102,1_mm,R,unk,Oligochaeta,unk,unk,9,1,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Ceratopogonidae,unk,6,1,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Diptera,Pediciidae,Dicranota,2,1,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,7,1,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,2,1,
12/11/17,6/16/23,WS31,102,1_mm,R,larva,Plecoptera,Perlodidae,unk,2,1,
